Scenario,Window,Method,ARI,Waste,RLE,SLCA,Carbon,Equity
heatwave,early,static,0.5340114658510581,0.08688361231909285,0.0,0.5911549145796391,1483.9550585277548,0.5764171814527804
heatwave,early,hybrid_rl,0.6362765700281977,0.05450840268587317,0.0,0.6787509334705394,1070.1808097415692,0.609197008227579
heatwave,early,agribrain,0.703588894938879,0.02893346232664737,0.0,0.7333449407487066,733.8429451920163,0.6675795628114426
heatwave,early,mcp_only,0.6750898105916171,0.031524989146398084,0.0,0.7053848300281874,841.9304507263739,0.6366843862505658
heatwave,early,pirag_only,0.6791559075940491,0.02940919810975399,0.0,0.708031687887012,834.0125498977907,0.6368994790580164
heatwave,early,no_context,0.6929179224708234,0.030060703174092335,0.0,0.7226340729270536,840.5735236885673,0.6530647992615315
heatwave,mid,static,0.33812250511432823,0.14826961305025577,0.0,0.4658380710312154,1931.8627078205564,0.4493579103604489
heatwave,mid,hybrid_rl,0.4883182382328269,0.06624956076815071,0.9242782319439491,0.6139424823254926,999.0135487146396,0.5672224029910333
heatwave,mid,agribrain,0.5649548291230625,0.03293218870373889,0.9481377299121502,0.631738837238429,800.7936496506791,0.5859495089370016
heatwave,mid,mcp_only,0.5621947044733605,0.03916301014682285,0.7765429104498177,0.6249546971287624,819.4918277403713,0.5776895770345418
heatwave,mid,pirag_only,0.5715214804335943,0.034133006299109564,0.9409424756728947,0.636065330903454,760.4976872244705,0.5982652878627944
heatwave,mid,no_context,0.5504596514828846,0.03898644586205824,0.9186787548497204,0.6195370214122375,867.0504108785817,0.5766531525904305
heatwave,late,static,0.29920248305417246,0.1165449487170993,0.0,0.5301968188337643,1670.0671987704427,0.5040104608173129
heatwave,late,hybrid_rl,0.41229101405009977,0.0495303521167364,0.6550825650331864,0.7090474248100268,727.6677393822265,0.6600050781602906
heatwave,late,agribrain,0.6559303057687064,0.034292105430651754,0.0,0.6980505669129924,661.9547755391692,0.6372211293922285
heatwave,late,mcp_only,0.6459075390215467,0.035323404983072106,0.0,0.6874225211593933,755.038426158884,0.625198310633469
heatwave,late,pirag_only,0.6347503511675748,0.043441924803318044,0.0,0.6819385052531793,736.954277356178,0.6175049387830712
heatwave,late,no_context,0.6122447760529899,0.04413379961519237,0.0,0.6570068001509903,898.7744167123275,0.5866346233127818
overproduction,early,static,0.4974806967837198,0.09377323944547337,0.0,0.555017224703882,1447.2421580319324,0.5291042349669313
overproduction,early,hybrid_rl,0.6187960159468294,0.047903017194407226,0.0,0.6576699364020392,997.2151599288119,0.6008907762190151
overproduction,early,agribrain,0.6446546674477602,0.03397062019374902,0.0,0.677047372064503,761.1786360088437,0.6222098990757617
overproduction,early,mcp_only,0.6641029216307645,0.03523129043207645,0.0,0.6982248944614758,701.0277992592152,0.641774649386918
overproduction,early,pirag_only,0.6509481600713092,0.03903659966574357,0.0,0.6872880515365513,739.804702761075,0.6329380901523735
overproduction,early,no_context,0.6324830976497017,0.045608524550670104,0.0,0.6709476353446497,853.2968404559159,0.6101845979005863
overproduction,mid,static,0.3697882857388601,0.1432191157800988,0.0,0.47735730176579744,1667.9283451570661,0.46353013229579965
overproduction,mid,hybrid_rl,0.5291044077471491,0.06325627886897227,0.9634592197026763,0.6246413843757368,769.4184139132814,0.579973159375588
overproduction,mid,agribrain,0.5858192636824676,0.04478529010469773,0.0,0.6289435557813391,675.16943143697,0.5857242516705422
overproduction,mid,mcp_only,0.5901843911783481,0.04441731955419608,0.0,0.6352486615752705,620.250450306156,0.5977270141774879
overproduction,mid,pirag_only,0.5797122488993377,0.05403918163387119,0.0,0.6280237056852419,697.5683055483566,0.585550770066498
overproduction,mid,no_context,0.5688152153249418,0.0539866189435668,1.0,0.6171623108782085,746.3148337374847,0.5721364004610848
overproduction,late,static,0.3550924880318824,0.12856506112737762,0.0,0.5123608647946735,1550.454398307606,0.48147497192151145
overproduction,late,hybrid_rl,0.5180609145121432,0.05761225936885348,0.8686058647883037,0.6798163924544284,733.3925526313094,0.6121807138545189
overproduction,late,agribrain,0.6152120459631768,0.04391119386659572,0.0,0.6568050816570222,727.9125484091064,0.58893838838364
overproduction,late,mcp_only,0.5942010097406393,0.05198757957305445,0.0,0.640686808847088,814.6992429559796,0.5760772552497905
overproduction,late,pirag_only,0.6092753054771092,0.044654750610904674,0.0,0.6519839892169287,744.5257379814535,0.5878192635911234
overproduction,late,no_context,0.602497851903332,0.0510167381869003,0.0,0.6491994463013478,753.4404628381475,0.5794584217040656
cyber_outage,early,static,0.5309166001027216,0.09366286064549768,0.0,0.5922688957840682,1444.5942280177762,0.575816582408321
cyber_outage,early,hybrid_rl,0.6195097406872242,0.061832248200432816,0.0,0.6659980626683346,1100.526838723439,0.6013395620732995
cyber_outage,early,agribrain,0.6981345750454251,0.02254743997132137,0.0,0.7233066634523562,755.3024583578598,0.6530925400402481
cyber_outage,early,mcp_only,0.6828540911731694,0.027591606774846983,0.0,0.7103263576280067,838.2537272245655,0.639773138756512
cyber_outage,early,pirag_only,0.6976800897853715,0.028610161539485934,0.0,0.7267614311046046,757.0243273636362,0.660061943870841
cyber_outage,early,no_context,0.6673397926624842,0.034972115321098306,0.0,0.6996247092200153,901.75632113847,0.6289621646043313
cyber_outage,mid,static,0.4312967498363512,0.13190248463032805,0.0,0.5343693302595839,1608.0827190268478,0.5167894069093599
cyber_outage,mid,hybrid_rl,0.5824844542699887,0.05694272907859523,0.8687141578939495,0.6719926564077782,856.9871269784538,0.6186275162880361
cyber_outage,mid,agribrain,0.6355956381922424,0.04107148821541924,0.0,0.678417905894257,764.681917351988,0.6248035331352342
cyber_outage,mid,mcp_only,0.6400704660065175,0.017763448675084965,0.0,0.6695293415340619,836.7017979312226,0.6144695668692659
cyber_outage,mid,pirag_only,0.6553235415658265,0.031063940547434266,0.0,0.6941960789256466,705.6180248678925,0.6387512572543503
cyber_outage,mid,no_context,0.6383824467232725,0.04215563799608705,1.0,0.6837094988433012,761.1311359714366,0.6253697641565569
cyber_outage,late,static,0.35030261202719987,0.14896679761604403,0.0,0.5138694839214863,1667.4714470566576,0.4986873504298903
cyber_outage,late,hybrid_rl,0.5172617459378327,0.05234626513548472,0.8434210553347765,0.6762176671629213,822.3739253433272,0.6320801116515563
cyber_outage,late,agribrain,0.6376377189771846,0.032604828763498774,1.0,0.6775441900823918,697.061495496127,0.6292994373238656
cyber_outage,late,mcp_only,0.6455228299304285,0.030738861580158244,1.0,0.6866098486207844,668.335110670871,0.6433049136566288
cyber_outage,late,pirag_only,0.6129915647431131,0.047442885609348846,1.0,0.6613116741385968,816.5836505606813,0.6036552213379521
cyber_outage,late,no_context,0.6220736319558337,0.04311650460451676,0.0,0.6685200697032577,770.6533651998733,0.6181310451096826
adaptive_pricing,early,static,0.5289510130472165,0.091896778171584,0.0,0.5898094872142368,1417.5954037853976,0.5759430618567499
adaptive_pricing,early,hybrid_rl,0.6234186912864577,0.04398656488746436,0.0,0.6590256604404349,1129.243499507599,0.5956074124749134
adaptive_pricing,early,agribrain,0.6834772156822261,0.03235091148595461,0.0,0.7158759058671088,804.1329757159556,0.6452835247993326
adaptive_pricing,early,mcp_only,0.6769200832644621,0.030506812517751832,0.0,0.7071270411289247,819.29684268255,0.6386055356303887
adaptive_pricing,early,pirag_only,0.6617108128029084,0.04246963249012218,0.0,0.6986066728471485,870.5412037564729,0.6294211149034731
adaptive_pricing,early,no_context,0.6536244423265652,0.028379677986940587,0.0,0.6810606593609179,977.9370358891929,0.6145370155316197
adaptive_pricing,mid,static,0.4907517390373129,0.10384885867410383,0.0,0.5817949298700648,1436.8638762735736,0.5651812108483251
adaptive_pricing,mid,hybrid_rl,0.6348369851577811,0.03902637996544544,0.6547164363935856,0.6998608360751168,917.2306399619711,0.6306802233553465
adaptive_pricing,mid,agribrain,0.680099337841566,0.03211416096468583,0.0,0.7124092954371779,776.7028632089466,0.6517278666171032
adaptive_pricing,mid,mcp_only,0.6696826382391751,0.03791523789410151,0.0,0.7042741948608103,820.9572684834023,0.6337480963950225
adaptive_pricing,mid,pirag_only,0.6809026303608792,0.03948052809535716,0.0,0.7183604861957363,750.7392401152016,0.6530650578316826
adaptive_pricing,mid,no_context,0.6604258696320151,0.031487595787578815,0.0,0.6911124063176853,877.1562749471972,0.623851089920128
adaptive_pricing,late,static,0.45113273469594795,0.09754622035441524,0.0,0.5706484848033744,1487.7594154436747,0.5509287162531809
adaptive_pricing,late,hybrid_rl,0.6254671688893721,0.036886598517772644,0.8473576514978622,0.7375863146436011,722.2183281579995,0.6752403862978652
adaptive_pricing,late,agribrain,0.6718238070277676,0.03541705535520786,0.0,0.7052727704552763,778.0480352239948,0.6406104614624709
adaptive_pricing,late,mcp_only,0.6968799448782149,0.03082458115986288,0.0,0.7278758576187597,705.8215398163545,0.6646109606906724
adaptive_pricing,late,pirag_only,0.6938622118140207,0.03136267738168521,0.0,0.7247585034701748,703.5223712463632,0.6565080527468933
adaptive_pricing,late,no_context,0.6656951477685258,0.036571116391634885,0.0,0.7000395208605402,844.5261085591479,0.6334318069026249
baseline,early,static,0.5403574192190541,0.0810383545904499,0.0,0.5945923425081107,1417.4737298556126,0.5799094611925733
baseline,early,hybrid_rl,0.6553729752731883,0.052707352507873374,0.0,0.6970773685107158,949.1616544541538,0.6238236224511093
baseline,early,agribrain,0.6974992853680974,0.030653329254225693,0.0,0.727886870819798,776.0396684304333,0.6556736416487785
baseline,early,mcp_only,0.6685728954610478,0.038376198548835366,0.0,0.7025122838495371,852.0206936799381,0.6326835129017299
baseline,early,pirag_only,0.6849491186376672,0.025900625581945193,0.0,0.7111302974719975,816.4992360753822,0.6424946917079285
baseline,early,no_context,0.667724752378529,0.03707648439849101,0.0,0.7009068753471149,932.2367350499217,0.6317727632170619
baseline,mid,static,0.5227540378122792,0.06082612612700403,0.0,0.5871822029224251,1439.440098865266,0.5704031713692592
baseline,mid,hybrid_rl,0.6265046177112218,0.05496926575031267,0.777200091606742,0.6982871064118142,957.3369656652155,0.6305037772798038
baseline,mid,agribrain,0.6829377214951049,0.02876148180708617,0.0,0.7116010861666456,818.3576156866184,0.6459596450260421
baseline,mid,mcp_only,0.6856924135612296,0.030893698789386675,0.0,0.7169658155752964,744.3543475925778,0.6519278125831606
baseline,mid,pirag_only,0.7047984689975992,0.024697581226687675,0.0,0.7321545471751029,733.9220576988381,0.6659653764422128
baseline,mid,no_context,0.6573655432457371,0.035062322124343646,0.0,0.6894530568882745,896.4571753959394,0.6214112766310582
baseline,late,static,0.4982418718817992,0.05211937400798747,0.0,0.5861913505762415,1387.0936585620263,0.570648150657725
baseline,late,hybrid_rl,0.6372150785592153,0.03605955954794954,0.8161397695156859,0.735796130397604,796.1208953423454,0.6653557811280076
baseline,late,agribrain,0.7057568491619713,0.02476605165053726,0.0,0.7320131435049264,716.159665888087,0.6651954608161627
baseline,late,mcp_only,0.6819544799442759,0.03288804272124487,0.0,0.7131335365546461,791.5995120602391,0.6429232044992395
baseline,late,pirag_only,0.6797646598476005,0.038173061393423205,0.0,0.7140321018612662,792.1155737430665,0.642448339774936
baseline,late,no_context,0.664284100513969,0.03478036229116629,0.0,0.6965697922414935,866.7885313032987,0.628869862372833
